bus_name,v_avg_pu,v_min_pu,v_max_pu,p_load_kw,q_load_kvar
1,3.0316490059097606e-13,-10937.351340838546,10956.01303168244,0.0,0.0
2,1.5158245029548803e-13,-10908.784226933672,10923.929141323439,100.0,60.0
3,0.0,-10883.893313869614,10895.42049386321,90.0,40.0
4,-6.063298011819521e-13,-10867.18130862588,10874.879647585025,120.0,80.0
5,3.0316490059097606e-13,-10851.422427760665,10855.430944443753,60.0,30.0
6,3.0316490059097606e-13,-10836.1453179962,10836.459880817778,80.0,50.0
7,0.0,-10828.731600924291,10828.96475064069,70.0,40.0
8,0.0,-10821.879161524665,10822.06273967768,110.0,60.0
9,3.0316490059097606e-13,-10815.910526078686,10816.073516379765,90.0,50.0
10,-3.0316490059097606e-13,-10810.665009886567,10810.837849139065,50.0,30.0
11,-1.5158245029548803e-13,-10805.820459895234,10806.036479003442,60.0,35.0
12,4.547473508864641e-13,-10801.457715296794,10801.749542019183,60.0,35.0
13,1.5158245029548803e-13,-10797.576966777058,10797.977245416829,120.0,80.0
14,-6.063298011819521e-13,-10794.656214963936,10795.30421508255,60.0,30.0
15,-4.547473508864641e-13,-10792.219912358378,10793.111330861824,60.0,20.0
16,0.0,-10790.272493665847,10791.329053140733,60.0,20.0
17,0.0,-10788.814040692629,10789.957457109898,90.0,40.0
18,-1.5158245029548803e-13,-10788.084790981215,10789.271635864938,90.0,40.0
19,6.063298011819521e-13,-10905.901575172902,10921.214599605952,90.0,40.0
20,1.5158245029548803e-13,-10903.739429085852,10919.178535826912,90.0,40.0
21,3.0316490059097606e-13,-10902.297923452737,10917.821084958005,90.0,40.0
22,-4.547473508864641e-13,-10901.577148159733,10917.142337014575,90.0,40.0
23,1.5158245029548803e-13,-10876.436601157353,10888.132526362491,90.0,50.0
24,-3.0316490059097606e-13,-10869.698195938445,10881.593895647946,420.0,200.0
25,1.5158245029548803e-13,-10866.328486947185,10878.324073344127,420.0,200.0
26,-1.5158245029548803e-13,-10828.92109287956,10825.691064537692,60.0,25.0
27,1.5158245029548803e-13,-10822.182105378433,10815.36615552515,60.0,25.0
28,-4.547473508864641e-13,-10815.928804317033,10805.48541585547,60.0,20.0
29,-1.5158245029548803e-13,-10810.163746105722,10796.01430130311,120.0,70.0
30,0.0,-10805.363277840826,10787.57172418456,200.0,600.0
31,-3.0316490059097606e-13,-10801.968239799313,10784.212571273309,150.0,70.0
32,1.5158245029548803e-13,-10799.787654269014,10782.018092634327,210.0,100.0
33,-4.547473508864641e-13,-10799.30680507071,10781.468431930454,60.0,40.0
