line_name,from_bus,to_bus,r_ohm,x_ohm,length,loading_pct
l1,1,2,0.0922,0.047,1.0,49.08451609558138
l2,2,3,0.0922,0.047,1.0,43.29468291194435
l3,3,4,0.0922,0.047,1.0,30.46923984585887
l4,4,5,0.0922,0.047,1.0,28.813976996375644
l5,5,6,0.0922,0.047,1.0,28.05523662236384
l6,6,7,0.0922,0.047,1.0,12.005790274871854
l7,7,8,0.0922,0.047,1.0,11.075898429620644
l8,8,9,0.0922,0.047,1.0,9.629031612247958
l9,9,10,0.0922,0.047,1.0,8.439916685795758
l10,10,11,0.0922,0.047,1.0,7.767548575301194
l11,11,12,0.0922,0.047,1.0,6.965902881046136
l12,12,13,0.0922,0.047,1.0,6.164421398677036
l13,13,14,0.0922,0.047,1.0,4.517588387211072
l14,14,15,0.0922,0.047,1.0,3.743051366005423
l15,15,16,0.0922,0.047,1.0,3.012132997926734
l16,16,17,0.0922,0.047,1.0,2.282096311348591
l17,17,18,0.0922,0.047,1.0,1.1410855096470187
l18,2,19,0.0922,0.047,1.0,4.513198582299575
l19,19,20,0.0922,0.047,1.0,3.3851520345961577
l20,20,21,0.0922,0.047,1.0,2.256888578101096
l21,21,22,0.0922,0.047,1.0,1.1284804620162359
l22,3,23,0.0922,0.047,1.0,11.87539125361398
l23,23,24,0.0922,0.047,1.0,10.694877883988372
l24,24,25,0.0922,0.047,1.0,5.348254620688308
l25,6,26,0.0922,0.047,1.0,15.308989381737947
l26,26,27,0.0922,0.047,1.0,14.62250175152033
l27,27,28,0.0922,0.047,1.0,13.942163964598478
l28,28,29,0.0922,0.047,1.0,13.313224140417823
l29,29,30,0.0922,0.047,1.0,11.811941105754514
l30,30,31,0.0922,0.047,1.0,5.438999082514876
l31,31,32,0.0922,0.047,1.0,3.5230455544315595
l32,32,33,0.0922,0.047,1.0,0.8353429727338696
