timestep,bus,cascading_risk,phase
0,0,0.0,pre_mitigation
0,1,0.0,pre_mitigation
0,2,0.0,pre_mitigation
0,3,0.0,pre_mitigation
0,4,0.0,pre_mitigation
0,5,0.95,pre_mitigation
0,6,0.0,pre_mitigation
0,7,0.0,pre_mitigation
0,8,0.0,pre_mitigation
0,9,0.0,pre_mitigation
0,10,0.0,pre_mitigation
0,11,0.0,pre_mitigation
0,12,0.0,pre_mitigation
0,13,0.0,pre_mitigation
0,14,0.0,pre_mitigation
0,15,0.0,pre_mitigation
0,16,0.0,pre_mitigation
0,17,0.0,pre_mitigation
0,18,0.0,pre_mitigation
0,19,0.0,pre_mitigation
0,20,0.0,pre_mitigation
0,21,0.0,pre_mitigation
0,22,0.0,pre_mitigation
0,23,0.0,pre_mitigation
0,24,0.0,pre_mitigation
0,25,0.0,pre_mitigation
0,26,0.0,pre_mitigation
0,27,0.0,pre_mitigation
0,28,0.0,pre_mitigation
0,29,0.0,pre_mitigation
0,30,0.0,pre_mitigation
0,31,0.0,pre_mitigation
0,32,0.0,pre_mitigation
1,0,0.0,pre_mitigation
1,1,0.0,pre_mitigation
1,2,0.0,pre_mitigation
1,3,0.0,pre_mitigation
1,4,0.076,pre_mitigation
1,5,0.836,pre_mitigation
1,6,0.076,pre_mitigation
1,7,0.0,pre_mitigation
1,8,0.0,pre_mitigation
1,9,0.0,pre_mitigation
1,10,0.0,pre_mitigation
1,11,0.0,pre_mitigation
1,12,0.0,pre_mitigation
1,13,0.0,pre_mitigation
1,14,0.0,pre_mitigation
1,15,0.0,pre_mitigation
1,16,0.0,pre_mitigation
1,17,0.0,pre_mitigation
1,18,0.0,pre_mitigation
1,19,0.0,pre_mitigation
1,20,0.0,pre_mitigation
1,21,0.0,pre_mitigation
1,22,0.0,pre_mitigation
1,23,0.0,pre_mitigation
1,24,0.0,pre_mitigation
1,25,0.0,pre_mitigation
1,26,0.0,pre_mitigation
1,27,0.0,pre_mitigation
1,28,0.0,pre_mitigation
1,29,0.0,pre_mitigation
1,30,0.0,pre_mitigation
1,31,0.0,pre_mitigation
1,32,0.0,pre_mitigation
2,0,0.0,pre_mitigation
2,1,0.0,pre_mitigation
2,2,0.0,pre_mitigation
2,3,0.00608,pre_mitigation
2,4,0.13376,pre_mitigation
2,5,0.74784,pre_mitigation
2,6,0.13376,pre_mitigation
2,7,0.00608,pre_mitigation
2,8,0.0,pre_mitigation
2,9,0.0,pre_mitigation
2,10,0.0,pre_mitigation
2,11,0.0,pre_mitigation
2,12,0.0,pre_mitigation
2,13,0.0,pre_mitigation
2,14,0.0,pre_mitigation
2,15,0.0,pre_mitigation
2,16,0.0,pre_mitigation
2,17,0.0,pre_mitigation
2,18,0.0,pre_mitigation
2,19,0.0,pre_mitigation
2,20,0.0,pre_mitigation
2,21,0.0,pre_mitigation
2,22,0.0,pre_mitigation
2,23,0.0,pre_mitigation
2,24,0.0,pre_mitigation
2,25,0.0,pre_mitigation
2,26,0.0,pre_mitigation
2,27,0.0,pre_mitigation
2,28,0.0,pre_mitigation
2,29,0.0,pre_mitigation
2,30,0.0,pre_mitigation
2,31,0.0,pre_mitigation
2,32,0.0,pre_mitigation
3,0,0.0,pre_mitigation
3,1,0.0,pre_mitigation
3,2,0.00048640000000000006,pre_mitigation
3,3,0.0160512,pre_mitigation
3,4,0.17802239999999997,pre_mitigation
3,5,0.6795008,pre_mitigation
3,6,0.17802239999999997,pre_mitigation
3,7,0.0160512,pre_mitigation
3,8,0.00048640000000000006,pre_mitigation
3,9,0.0,pre_mitigation
3,10,0.0,pre_mitigation
3,11,0.0,pre_mitigation
3,12,0.0,pre_mitigation
3,13,0.0,pre_mitigation
3,14,0.0,pre_mitigation
3,15,0.0,pre_mitigation
3,16,0.0,pre_mitigation
3,17,0.0,pre_mitigation
3,18,0.0,pre_mitigation
3,19,0.0,pre_mitigation
3,20,0.0,pre_mitigation
3,21,0.0,pre_mitigation
3,22,0.0,pre_mitigation
3,23,0.0,pre_mitigation
3,24,0.0,pre_mitigation
3,25,0.0,pre_mitigation
3,26,0.0,pre_mitigation
3,27,0.0,pre_mitigation
3,28,0.0,pre_mitigation
3,29,0.0,pre_mitigation
3,30,0.0,pre_mitigation
3,31,0.0,pre_mitigation
3,32,0.0,pre_mitigation
4,0,0.0,pre_mitigation
4,1,3.8912e-05,pre_mitigation
4,2,0.0017121280000000003,pre_mitigation
4,3,0.028405760000000002,pre_mitigation
4,4,0.21230387199999998,pre_mitigation
4,5,0.626444288,pre_mitigation
4,6,0.21230387199999998,pre_mitigation
4,7,0.028405760000000002,pre_mitigation
4,8,0.0017121280000000003,pre_mitigation
4,9,3.8912e-05,pre_mitigation
4,10,0.0,pre_mitigation
4,11,0.0,pre_mitigation
4,12,0.0,pre_mitigation
