epoch,train_loss,lr,val_fault_risk_threshold,val_fault_risk_f1,val_fault_risk_precision,val_fault_risk_recall,val_fault_risk_auc,val_fault_risk_auprc,val_congestion_risk_threshold,val_congestion_risk_f1,val_congestion_risk_precision,val_congestion_risk_recall,val_congestion_risk_auc,val_congestion_risk_auprc,val_voltage_violation_threshold,val_voltage_violation_f1,val_voltage_violation_precision,val_voltage_violation_recall,val_voltage_violation_auc,val_voltage_violation_auprc,val_macro_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_macro_auprc
1,0.163026,0.0008,0.5,0.8865671641791045,0.8330995792426368,0.9473684210526315,0.9731545377478392,0.9590928033669139,0.5,0.5692695214105793,0.4035714285714286,0.9658119658119658,0.9796718462229728,0.8194575761453453,0.5,0.8974158183241974,0.8590704647676162,0.9393442622950819,0.9842832172462195,0.9696777590602562,0.7844175013046271,0.6985804908605605,0.9508415497198931,0.9790365337390105,0.9160760461908385
2,0.068027,0.0008,0.5,0.8795269770879527,0.8195592286501377,0.94896331738437,0.9733008345448536,0.9637776786949754,0.5,0.6565349544072948,0.5094339622641509,0.9230769230769231,0.9784621309751292,0.7895050622018738,0.5,0.8853454821564161,0.8246110325318247,0.9557377049180328,0.9847440345348129,0.9716227089990406,0.8071358045505544,0.7178680744820377,0.9425926484597754,0.9788356666849319,0.9083018166319633
3,0.060074,0.0008,0.5,0.8974169741697416,0.8351648351648352,0.9696969696969697,0.97905473982029,0.9714991952637801,0.5,0.7163120567375887,0.6121212121212121,0.8632478632478633,0.9843230779105996,0.837783139325649,0.5,0.9046898638426626,0.8398876404494382,0.980327868852459,0.9898739373394423,0.9795652792900256,0.8394729649166642,0.7623912292451619,0.937757567265764,0.9844172516901106,0.9296158712931515
4,0.05135,0.0008,0.5,0.9235474006116208,0.8869309838472834,0.9633173843700159,0.9811682060485888,0.9756837513618135,0.5,0.7317073170731707,0.6176470588235294,0.8974358974358975,0.987794220029922,0.876966195855985,0.5,0.934375,0.8925373134328358,0.980327868852459,0.9927950952090893,0.9853721244463343,0.8632099058949304,0.7990384520345496,0.9470270502194574,0.9872525070958668,0.9460073572213776
5,0.046655,0.0008,0.5,0.905688622754491,0.8533145275035261,0.9649122807017544,0.979332964978898,0.9743461812138742,0.5,0.6239554317548747,0.4628099173553719,0.9572649572649573,0.9859129893791939,0.8723642827494399,0.5,0.9141104294478528,0.8587896253602305,0.9770491803278688,0.9915212267274027,0.9835683226971463,0.8145848279857395,0.7249713567397095,0.9664088060981935,0.9855890603618316,0.9434262622201534
6,0.04678,0.0008,0.5,0.9261083743842364,0.9543147208121827,0.8995215311004785,0.9806404926022151,0.9771618004976498,0.5,0.6956521739130435,0.5463414634146342,0.9572649572649573,0.9908456650224415,0.9054332891330519,0.5,0.9392173189009159,0.9543147208121827,0.9245901639344263,0.9935114807065865,0.9879016134367735,0.8536592890660653,0.8183236350129999,0.9271255507666206,0.9883325461104143,0.9568322343558252
7,0.044762,0.0008,0.5,0.9292452830188679,0.9162790697674419,0.9425837320574163,0.9824012790519967,0.9796074265044582,0.5,0.6850152905198776,0.5333333333333333,0.9572649572649573,0.9906679109452072,0.909127730561149,0.5,0.9358974358974359,0.9153605015673981,0.9573770491803278,0.9948409650679308,0.9900127569624887,0.8500526698120604,0.7883243015560577,0.9524085795009004,0.9893033850217116,0.9595826380093654
8,0.040291,0.0008,0.5,0.9173047473200613,0.882179675994109,0.9553429027113237,0.9812282922330771,0.9780852476238102,0.5,0.6848484848484848,0.5305164319248826,0.9658119658119658,0.9901346487135049,0.9090735700634244,0.5,0.9235569422776911,0.8809523809523809,0.9704918032786886,0.9941113376943246,0.9885129290379693,0.841903391482079,0.7645494962904574,0.9638822239339927,0.9884914262136356,0.9585572489084013
9,0.039846,0.0008,0.5,0.926829268292683,0.8875912408759125,0.9696969696969697,0.9828022890223846,0.9806513699872046,0.5,0.7333333333333333,0.6010928961748634,0.9401709401709402,0.9907567879838244,0.9128323221866305,0.5,0.9308469308469308,0.8847858197932054,0.9819672131147541,0.995399772239731,0.9908628430260833,0.863669844157649,0.791156652281327,0.9639450409942213,0.9896529497486467,0.9614488450666393
10,0.03941,0.0008,0.5,0.9400164338537387,0.9694915254237289,0.9122807017543859,0.9780476431194134,0.9765635584532515,0.5,0.7424749163879598,0.6098901098901099,0.9487179487179487,0.992781209418991,0.9231868004987984,0.5,0.9507101086048454,0.969335604770017,0.9327868852459016,0.9939603803066819,0.989461870564218,0.8777338196155147,0.8495724133612853,0.931261845239412,0.9882630776150286,0.9630707431720893
11,0.038535,0.0008,0.5,0.9467741935483871,0.9575856443719413,0.9362041467304625,0.9832816722768877,0.9818546819398755,0.5,0.764505119453925,0.6363636363636364,0.9572649572649573,0.9933687853965151,0.9268447411940941,0.5,0.9564502875924404,0.9588138385502472,0.9540983606557377,0.9962101750576022,0.9928299285427832,0.8892432001982509,0.8509210397619417,0.9491891548837192,0.9909535442436684,0.9671764505589175
12,0.038628,0.0008,0.5,0.9176829268292683,0.8788321167883212,0.960127591706539,0.9809487608530669,0.977150106438959,0.5,0.7157190635451505,0.5879120879120879,0.9145299145299145,0.9894285700178248,0.8764090613004144,0.5,0.9235521235521236,0.872992700729927,0.980327868852459,0.9932982865012315,0.9871508297322141,0.8523180379755141,0.7799123018101121,0.9516617916963043,0.9878918724573743,0.9469033324905292
