bus,fault_prob,congestion_prob,voltage_prob,bus_name,max_risk,dominant_risk
17,0.6104178,0.0059715514,0.5104183,18,0.6104178,Fault Risk
16,0.60139436,0.0093803285,0.4992909,17,0.60139436,Fault Risk
32,0.59827524,0.0065854047,0.5000649,33,0.59827524,Fault Risk
15,0.5921481,0.011205448,0.4856903,16,0.5921481,Fault Risk
31,0.58985853,0.006166055,0.4840085,32,0.58985853,Fault Risk
14,0.5806809,0.007441995,0.46732524,15,0.5806809,Fault Risk
30,0.5769626,0.006368283,0.46680424,31,0.5769626,Fault Risk
13,0.574056,0.008688525,0.45865422,14,0.574056,Fault Risk
28,0.5634962,0.00629859,0.4477694,29,0.5634962,Fault Risk
29,0.5608943,0.006257158,0.44596687,30,0.5608943,Fault Risk
12,0.5591134,0.007026821,0.43731695,13,0.5591134,Fault Risk
11,0.5561684,0.009141962,0.43233317,12,0.5561684,Fault Risk
10,0.54598695,0.009416805,0.41978335,11,0.54598695,Fault Risk
9,0.5328511,0.010949445,0.4050301,10,0.5328511,Fault Risk
27,0.53032804,0.008917033,0.4106502,28,0.53032804,Fault Risk
0,0.22476406,0.52989453,0.024719434,1,0.52989453,Congestion Risk
1,0.20211828,0.5263292,0.019831242,2,0.5263292,Congestion Risk
8,0.52124506,0.013287887,0.39172888,9,0.52124506,Fault Risk
7,0.476412,0.033598047,0.33795783,8,0.476412,Fault Risk
26,0.46949038,0.012417049,0.34321323,27,0.46949038,Fault Risk
