episode,action,action_name,reward,fault_mean,congestion_mean,voltage_mean,epsilon
500,3,voltage_support,-2.7381,0.0,0.0,0.0,0.05
501,0,monitor,-2.4298,0.0,0.0,0.0,0.05
502,0,monitor,-2.1138,0.0,0.0,0.0,0.05
503,4,isolate_section,-2.5456,0.0,0.0,0.0,0.05
504,4,isolate_section,-2.9266,0.0,0.0,0.0,0.05
505,0,monitor,-2.5869,0.0,0.0,0.0,0.05
506,0,monitor,-2.7758,0.0,0.0,0.0,0.05
507,4,isolate_section,-2.8136,0.0,0.0,0.0,0.05
508,0,monitor,-2.2473,0.0,0.0,0.0,0.05
509,0,monitor,-2.5494,0.0,0.0,0.0,0.05
510,4,isolate_section,-2.7155,0.0,0.0,0.0,0.05
511,0,monitor,-2.0806,0.0,0.0,0.0,0.05
512,3,voltage_support,-2.4566,0.0,0.0,0.0,0.05
513,4,isolate_section,-2.4921,0.0,0.0,0.0,0.05
514,4,isolate_section,-2.6894,0.0,0.0,0.0,0.05
515,0,monitor,-1.9077,0.0,0.0,0.0,0.05
516,0,monitor,-1.8975,0.0,0.0,0.0,0.05
517,0,monitor,-2.6269,0.0,0.0,0.0,0.05
518,0,monitor,-2.3052,0.0,0.0,0.0,0.05
519,0,monitor,-2.7839,0.0,0.0,0.0,0.05
520,4,isolate_section,-2.4443,0.0,0.0,0.0,0.05
521,0,monitor,-2.2659,0.0,0.0,0.0,0.05
522,2,reroute_power,-2.6713,0.0,0.0,0.0,0.05
523,0,monitor,-2.1683,0.0,0.0,0.0,0.05
524,4,isolate_section,-2.1704,0.0,0.0,0.0,0.05
525,2,reroute_power,-2.5252,0.0,0.0,0.0,0.05
526,0,monitor,-1.7864,0.0,0.0,0.0,0.05
527,0,monitor,-2.7645,0.0,0.0,0.0,0.05
528,0,monitor,-2.9744,0.0,0.0,0.0,0.05
529,0,monitor,-2.5301,0.0,0.0,0.0,0.05
530,0,monitor,-2.3952,0.0,0.0,0.0,0.05
531,4,isolate_section,-2.0697,0.0,0.0,0.0,0.05
532,4,isolate_section,-2.2701,0.0,0.0,0.0,0.05
533,0,monitor,-2.795,0.0,0.0,0.0,0.05
534,0,monitor,-1.919,0.0,0.0,0.0,0.05
535,0,monitor,-2.0261,0.0,0.0,0.0,0.05
536,0,monitor,-2.1471,0.0,0.0,0.0,0.05
537,4,isolate_section,-2.7031,0.0,0.0,0.0,0.05
538,4,isolate_section,-3.0605,0.0,0.0,0.0,0.05
539,4,isolate_section,-2.151,0.0,0.0,0.0,0.05
540,4,isolate_section,-2.2046,0.0,0.0,0.0,0.05
541,0,monitor,-2.4955,0.0,0.0,0.0,0.05
542,4,isolate_section,-1.9519,0.0,0.0,0.0,0.05
543,0,monitor,-2.1291,0.0,0.0,0.0,0.05
544,0,monitor,-2.3186,0.0,0.0,0.0,0.05
545,0,monitor,-2.3278,0.0,0.0,0.0,0.05
546,0,monitor,-2.1725,0.0,0.0,0.0,0.05
547,0,monitor,-2.7744,0.0,0.0,0.0,0.05
548,0,monitor,-2.1764,0.0,0.0,0.0,0.05
549,0,monitor,-2.3363,0.0,0.0,0.0,0.05
550,4,isolate_section,-2.4209,0.0,0.0,0.0,0.05
551,4,isolate_section,-2.5086,0.0,0.0,0.0,0.05
552,0,monitor,-2.3278,0.0,0.0,0.0,0.05
553,4,isolate_section,-2.3334,0.0,0.0,0.0,0.05
554,4,isolate_section,-2.3957,0.0,0.0,0.0,0.05
555,4,isolate_section,-2.0763,0.0,0.0,0.0,0.05
556,0,monitor,-2.4021,0.0,0.0,0.0,0.05
557,0,monitor,-2.0547,0.0,0.0,0.0,0.05
558,0,monitor,-2.0327,0.0,0.0,0.0,0.05
559,4,isolate_section,-2.4235,0.0,0.0,0.0,0.05
560,4,isolate_section,-2.5414,0.0,0.0,0.0,0.05
561,0,monitor,-1.9687,0.0,0.0,0.0,0.05
562,0,monitor,-2.182,0.0,0.0,0.0,0.05
563,0,monitor,-1.6695,0.0,0.0,0.0,0.05
564,4,isolate_section,-2.268,0.0,0.0,0.0,0.05
565,4,isolate_section,-2.5755,0.0,0.0,0.0,0.05
566,0,monitor,-2.6531,0.0,0.0,0.0,0.05
567,4,isolate_section,-2.9273,0.0,0.0,0.0,0.05
568,0,monitor,-1.8916,0.0,0.0,0.0,0.05
569,0,monitor,-2.3465,0.0,0.0,0.0,0.05
570,0,monitor,-2.0462,0.0,0.0,0.0,0.05
571,4,isolate_section,-1.9519,0.0,0.0,0.0,0.05
572,4,isolate_section,-1.8771,0.0,0.0,0.0,0.05
573,4,isolate_section,-2.5655,0.0,0.0,0.0,0.05
574,4,isolate_section,-2.3282,0.0,0.0,0.0,0.05
575,4,isolate_section,-2.3357,0.0,0.0,0.0,0.05
576,4,isolate_section,-2.8655,0.0,0.0,0.0,0.05
577,4,isolate_section,-2.9523,0.0,0.0,0.0,0.05
578,4,isolate_section,-2.1698,0.0,0.0,0.0,0.05
579,0,monitor,-1.9,0.0,0.0,0.0,0.05
580,4,isolate_section,-2.833,0.0,0.0,0.0,0.05
581,4,isolate_section,-2.7664,0.0,0.0,0.0,0.05
582,0,monitor,-1.958,0.0,0.0,0.0,0.05
583,4,isolate_section,-1.8877,0.0,0.0,0.0,0.05
584,0,monitor,-2.2703,0.0,0.0,0.0,0.05
585,2,reroute_power,-2.5501,0.0,0.0,0.0,0.05
586,0,monitor,-2.1581,0.0,0.0,0.0,0.05
587,0,monitor,-2.2066,0.0,0.0,0.0,0.05
588,4,isolate_section,-2.3863,0.0,0.0,0.0,0.05
589,4,isolate_section,-2.2893,0.0,0.0,0.0,0.05
590,4,isolate_section,-1.868,0.0,0.0,0.0,0.05
591,4,isolate_section,-2.3324,0.0,0.0,0.0,0.05
592,0,monitor,-1.8759,0.0,0.0,0.0,0.05
593,2,reroute_power,-1.9808,0.0,0.0,0.0,0.05
594,0,monitor,-2.9387,0.0,0.0,0.0,0.05
595,0,monitor,-2.5246,0.0,0.0,0.0,0.05
596,4,isolate_section,-2.361,0.0,0.0,0.0,0.05
597,0,monitor,-1.8522,0.0,0.0,0.0,0.05
598,0,monitor,-2.6873,0.0,0.0,0.0,0.05
599,0,monitor,-2.6065,0.0,0.0,0.0,0.05
